,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,coord,Weather_info,population
4616,Castilla y León,Burgos,Miranda de Ebro,9219000800,GUINICIO,0.96,0.0,1.0,1.0,"(42.7325, 3.0266666666667)",Not found,25 hab.(INE2020)
4617,Castilla y León,Burgos,Miranda de Ebro,9219000900,HERRERA,0.0,0.0,1.0,1.0,"(42.631881111111, 2.8783144444444)","En Herrera, los veranos son cortos, cálidos, áridos y mayormente despejados y los inviernos son largos, fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 35 °C y rara vez baja a menos de -2 °C o sube a más de 39 °C.",11 hab.(INE2020)
4618,Castilla y León,Burgos,Miranda de Ebro,9219001000,IRCIO,0.96,0.53,1.0,1.0,"(42.6543, 2.89982)","En Irbid, los veranos son largos, cálidos, áridos y despejados y los inviernos son fríos y mayormente despejados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 31 °C y rara vez baja a menos de 2 °C o sube a más de 35 °C.",71 hab.(INE2020)
4619,Castilla y León,Burgos,Miranda de Ebro,9219001100,MIRANDA DE EBRO,1.0,1.0,1.0,1.0,"(42.683333333333, 2.9333333333333)","En Miranda de Ebro, los veranos son calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 28 °C y rara vez baja a menos de -3 °C o sube a más de 34 °C.",35 528 hab.(2021)
4620,Castilla y León,Burgos,Miranda de Ebro,9219001200,MONTAÑANA,1.0,0.0,1.0,1.0,"(42.7272, 3.01809)",Not found,18 hab.(INE2020)
4621,Castilla y León,Burgos,Miranda de Ebro,9219001300,NAVE (LA),0.81,0.0,1.0,1.0,"(42.693647222222, 2.9724861111111)","En Nava de la Asunción, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",10 hab.(INE2020)
4622,Castilla y León,Burgos,Miranda de Ebro,9219001400,ORÓN,1.0,1.0,1.0,1.0,"(42.668333333333, 2.9822222222222)","En Orán, los veranos son cortos, calurosos, bochornosos y áridos; los inviernos son largos, fríos y ventosos y está mayormente despejado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 30 °C y rara vez baja a menos de 2 °C o sube a más de 34 °C.",235 hab.(INE2020)
4623,Castilla y León,Burgos,Miranda de Ebro,9219001500,SAN MIGUEL,0.0,0.0,1.0,1.0,,"En San Miguel de Tucumán, la temporada de lluvia es caliente y húmeda, la temporada seca es cómoda y es mayormente despejado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 8 °C a 31 °C y rara vez baja a menos de 4 °C o sube a más de 36 °C.",
4624,Castilla y León,Burgos,Miranda de Ebro,9219001600,SUZANA,1.0,0.0,1.0,1.0,"(42.7097, 2.9905)","En Suzano, los veranos son calurosos, bochornosos, mojados y nublados y los inviernos son frescos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 12 °C a 28 °C y rara vez baja a menos de 9 °C o sube a más de 32 °C.",66 hab.(INE2020)
4625,Castilla y León,Burgos,Miranda de Ebro,9219001700,TERNERO (EL),0.0,0.0,1.0,0.9,"(42.602844444444, 2.9371638888889)","En El Terrero, la temporada de lluvia es nublada, la temporada seca es parcialmente nublada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 30 °C y rara vez baja a menos de 3 °C o sube a más de 33 °C.",0 hab.(INE2020)
4626,Castilla y León,Burgos,Miranda de Ebro,9219001800,VALVERDE DE MIRANDA,0.61,0.0,1.0,1.0,"(42.651391666667, 2.998725)",Not found,14 hab.(INE2020)
4627,Castilla y León,Burgos,Miranda de Ebro,9219001900,ALTO SAN ROQUE,0.0,0.0,1.0,1.0,,Not found,
4628,Castilla y León,Burgos,Miranda de Ebro,9219002000,LAGO (EL),1.0,0.0,1.0,1.0,,"En El Lago, los veranos son largos, cálidos y opresivos; los inviernos son cortos, frescos y ventosos y está mojado y parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 8 °C a 33 °C y rara vez baja a menos de 2 °C o sube a más de 36 °C.","2,706 hab."
4629,Castilla y León,Burgos,Miranda de Ebro,9219002100,ÁNGELES (LOS),1.0,0.0,1.0,1.0,,"En Los Ángeles, los veranos son calurosos, áridos y despejados y los inviernos son largos, frescos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 9 °C a 29 °C y rara vez baja a menos de 5 °C o sube a más de 34 °C.",18 679 763 (2015)[1]​ hab.
4630,Castilla y León,Burgos,Miranda de Ebro,9219002200,MATILLAS,0.97,0.97,1.0,1.0,"(40.952222222222, 2.8430555555556)","En Matillas, los veranos son cortos, calurosos y mayormente despejados; los inviernos son largos, muy frío, ventosos y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",97 hab.(2021)
4631,Castilla y León,Burgos,Miranda de Ebro,9219002300,CHARCA (LA),1.0,1.0,1.0,1.0,,"En La Canea, los veranos son cálidos, áridos y despejados y los inviernos son largos, fríos, mojados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 9 °C a 32 °C y rara vez baja a menos de 5 °C o sube a más de 36 °C.",
4632,Castilla y León,Burgos,Miranda de Ebro,9219002400,FUENTECALIENTE,1.0,0.42,1.0,1.0,"(42.73885, 4.1490222222222)","En Fuencaliente, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",79 hab.(INE2020)
4633,Castilla y León,Burgos,Miranda de Ebro,9219002500,ARBOLEDA/LOS LINARES,0.79,0.63,1.0,1.0,,Not found,
4634,Castilla y León,Burgos,Miranda de Ebro,9219002600,CRUCERO II,0.91,0.91,1.0,1.0,,Not found,
4635,Castilla y León,Burgos,Miraveche,9220000100,MIRAVECHE,0.0,0.0,0.99,0.99,"(42.674444444444, 3.1994444444444)","En Miraveche, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 26 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",85 hab.(2021)
4636,Castilla y León,Burgos,Modúbar de la Emparedada,9221000100,COJÓBAR,0.96,0.0,1.0,1.0,"(42.246422222222, 3.6682527777778)","En Cobar, los veranos son cálidos, los inviernos son fríos y secos y está mayormente despejado todo el año. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 36 °C y rara vez baja a menos de 1 °C o sube a más de 42 °C.",211 hab.(INE2020)
4637,Castilla y León,Burgos,Modúbar de la Emparedada,9221000200,MODÚBAR DE LA EMPAREDADA,0.92,0.0,1.0,1.0,"(42.26, 3.6597222222222)","En Modúbar de la Emparedada, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",768 hab.(2021)
4638,Castilla y León,Burgos,Monasterio de la Sierra,9223000100,MONASTERIO DE LA SIERRA,0.76,0.0,0.85,1.0,"(42.051111111111, 3.1933333333333)","En Monasterio de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 26 °C y rara vez baja a menos de -7 °C o sube a más de 31 °C.",40 hab.(2021)
4639,Castilla y León,Burgos,Monasterio de Rodilla,9224000100,MONASTERIO DE RODILLA,0.94,0.0,1.0,1.0,"(42.4575, 3.4688888888889)","En Monasterio de Rodilla, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 26 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",164 hab.(2021)
4640,Castilla y León,Burgos,Monasterio de Rodilla,9224000200,SANTA MARINA,0.42,0.0,1.0,1.0,,"En Puerto de Santa María, los veranos son calurosos, áridos y mayormente despejados y los inviernos son fríos, mojados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 30 °C y rara vez baja a menos de 3 °C o sube a más de 35 °C.",
4641,Castilla y León,Burgos,Moncalvillo,9225000100,MONCALVILLO,0.0,0.0,0.99,0.27,"(41.954444444444, 3.199375)","En Hornos de Moncalvillo, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 28 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",83 hab.(2021)
4642,Castilla y León,Burgos,Monterrubio de la Demanda,9226000100,MONTERRUBIO DE LA DEMANDA,1.0,0.0,1.0,1.0,"(42.148055555556, 3.1125)",Not found,58 hab.(2021)
4643,Castilla y León,Burgos,Montorio,9227000100,MONTORIO,0.86,0.0,1.0,1.0,"(42.584444444444, 3.7763888888889)","En Montoro, los veranos son cortos, cálidos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 36 °C y rara vez baja a menos de -2 °C o sube a más de 40 °C.",152 hab.(2021)
4644,Castilla y León,Burgos,Moradillo de Roa,9228000100,MORADILLO DE ROA,0.66,0.0,1.0,1.0,"(41.551944444444, 3.7916666666667)","En Moradillo de Roa, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",163 hab.(2021)
4645,Castilla y León,Burgos,Nava de Roa,9229000100,NAVA DE ROA,0.98,0.0,1.0,1.0,"(41.613611111111, 3.965)","En Nava de Roa, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",206 hab.(2021)
4646,Castilla y León,Burgos,Navas de Bureba,9230000100,NAVAS DE BUREBA,0.0,0.0,1.0,1.0,"(42.682222222222, 3.3266666666667)","En Navas de Bureba, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 26 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",31 hab.(2021)
4647,Castilla y León,Burgos,Nebreda,9231000100,NEBREDA,1.0,0.0,1.0,1.0,"(41.968888888889, 3.6347222222222)","En Nebreda, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",51 hab.(2021)
4648,Castilla y León,Burgos,Neila,9232000100,NEILA,0.0,0.0,1.0,1.0,"(42.059722222222, 2.9969444444444)","En Neiva, los veranos son cortos, cálidos, húmedos y mayormente nublados y los inviernos son cortos, calurosos, opresivos, mojados y nublados. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 33 °C y rara vez baja a menos de 22 °C o sube a más de 36 °C.",144 hab.(2021)
4649,Castilla y León,Burgos,Olmedillo de Roa,9235000100,OLMEDILLO DE ROA,0.0,0.0,1.0,1.0,"(41.783055555556, 3.9338888888889)","En Olmedillo de Roa, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",190 hab.(2021)
4650,Castilla y León,Burgos,Olmillos de Muñó,9236000100,OLMILLOS DE MUÑÓ,0.35,0.0,0.96,0.63,"(42.2025, 3.9402777777778)","En Olmillos de Muñó, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",36 hab.(2021)
4651,Castilla y León,Burgos,Oña,9238000200,BARCINA DE LOS MONTES,0.0,0.0,0.99,0.99,"(42.713611111111, 3.325)",Not found,27 hab.(INE2020)
4652,Castilla y León,Burgos,Oña,9238000300,BENTRETEA,1.0,0.0,1.0,1.0,"(42.724832, 3.457974)",Not found,5 hab.(2011)
4653,Castilla y León,Burgos,Oña,9238000400,CASTELLANOS DE BUREBA,1.0,0.0,1.0,1.0,"(42.704830555556, 3.4537833333333)",Not found,4 hab.(INE2020)
4654,Castilla y León,Burgos,Oña,9238000500,CERECEDA,0.68,0.0,1.0,1.0,"(42.781291666667, 3.4701138888889)","En Cerceda, los veranos son cómodos y mayormente despejados y los inviernos son largos, fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 22 °C y rara vez baja a menos de -0 °C o sube a más de 27 °C.",15 hab.(INE2020)
4655,Castilla y León,Burgos,Oña,9238000600,CORNUDILLA,0.95,0.0,1.0,1.0,"(42.683333333333, 3.4258333333333)","En Corneilla-del-Vercol, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 29 °C y rara vez baja a menos de 0 °C o sube a más de 33 °C.",68 hab.(INE2020)
4656,Castilla y León,Burgos,Oña,9238000700,HERMOSILLA,0.68,0.0,1.0,1.0,"(42.6586111, 3.43472222)","En Hermosillo, los veranos son largos, tórridos, bochornosos y parcialmente nublados y los inviernos son cortos, frescos, secos y mayormente despejados. Durante el transcurso del año, la temperatura generalmente varía de 8 °C a 40 °C y rara vez baja a menos de 4 °C o sube a más de 43 °C.",19 hab.(INE2020)
4657,Castilla y León,Burgos,Oña,9238000800,MOLINA DEL PORTILLO DE BUSTO (LA),0.0,0.0,1.0,0.0,"(42.704527777778, 3.2318888888889)",Not found,8 hab.(INE2020)
4658,Castilla y León,Burgos,Oña,9238000900,OÑA,0.95,0.0,1.0,1.0,"(42.734722222222, 3.4138888888889)","En Winona Municipal Airport-Max Conrad Field, los veranos son calurosos y mojados; los inviernos son helados, nevados y ventosos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -12 °C a 29 °C y rara vez baja a menos de -23 °C o sube a más de 33 °C.",1008 hab.(2021)
4659,Castilla y León,Burgos,Oña,9238001000,PARTE DE BUREBA (LA),0.66,0.0,1.0,1.0,"(42.677777777778, 3.3855555555556)",Not found,81 hab.(INE2020)
4660,Castilla y León,Burgos,Oña,9238001100,PENCHES,0.73,0.0,1.0,1.0,"(42.727155555556, 3.3740694444444)","En Vilafranca del Penedès, los veranos son cortos, calurosos, húmedos y mayormente despejados; los inviernos son largos, fríos y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 28 °C y rara vez baja a menos de -1 °C o sube a más de 31 °C.",18 hab.(INE2020)
4661,Castilla y León,Burgos,Oña,9238001200,PINO DE BUREBA,0.93,0.0,1.0,1.0,"(42.705444444444, 3.4321555555556)",Not found,15 hab.(INE2020)
4662,Castilla y León,Burgos,Oña,9238001300,TERMINÓN,0.94,0.0,1.0,1.0,"(42.721361111111, 3.4512944444444)","En Termini Imerese, los veranos son cálidos, secos y despejados y los inviernos son largos, frescos, mojados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 9 °C a 32 °C y rara vez baja a menos de 6 °C o sube a más de 35 °C.",17 hab.(INE2020)
4663,Castilla y León,Burgos,Oña,9238001400,VILLANUEVA DE LOS MONTES,1.0,0.0,1.0,1.0,"(42.751202777778, 3.3402722222222)",Not found,7 hab.(INE2020)
4664,Castilla y León,Burgos,Oña,9238001500,ZANGÁNDEZ,0.0,0.0,1.0,1.0,"(42.704325, 3.2660083333333)",Not found,13 hab.(INE2020)
4665,Castilla y León,Burgos,Oquillas,9239000100,OQUILLAS,0.0,0.0,1.0,1.0,"(41.831666666667, 3.7036111111111)","En Oquillas, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",48 hab.(2021)
4666,Castilla y León,Burgos,Orbaneja Riopico,9241000100,ORBANEJA RIOPICO,0.6,0.0,0.99,1.0,"(42.36, 3.5833333333333)",Not found,355 hab.(2021)
4667,Castilla y León,Burgos,Orbaneja Riopico,9241000200,QUINTANILLA-RIOPICO,0.98,0.0,1.0,1.0,"(42.354839166667, 3.5681216666667)",Not found,64 hab.(INE2020)
4668,Castilla y León,Burgos,Padilla de Abajo,9242000100,PADILLA DE ABAJO,0.0,0.0,1.0,0.99,"(42.407777777778, 4.1766666666667)","En Padilla de Abajo, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 27 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",75 hab.(2021)
4669,Castilla y León,Burgos,Padilla de Arriba,9243000100,PADILLA DE ARRIBA,0.0,0.0,0.95,0.59,"(42.438055555556, 4.1947222222222)","En Padilla de Arriba, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 27 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",86 hab.(2021)
4670,Castilla y León,Burgos,Padrones de Bureba,9244000100,PADRONES DE BUREBA,0.08,0.0,1.0,1.0,"(42.704722222222, 3.5319444444444)","En Padrones de Bureba, los veranos son cortos, cómodos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 25 °C y rara vez baja a menos de -6 °C o sube a más de 30 °C.",45 hab.(2021)
4671,Castilla y León,Burgos,Palacios de la Sierra,9246000100,PALACIOS DE LA SIERRA,0.98,0.0,1.0,1.0,"(41.963333333333, 3.1261111111111)","En Palacios de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 27 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",702 hab.(2021)
4672,Castilla y León,Burgos,Palacios de Riopisuerga,9247000100,PALACIOS DE RIOPISUERGA,0.88,0.0,1.0,0.7,"(42.343611111111, 4.2569444444444)",Not found,22 hab.(2021)
4673,Castilla y León,Burgos,Palazuelos de la Sierra,9248000100,PALAZUELOS DE LA SIERRA,1.0,0.0,1.0,1.0,"(42.211666666667, 3.4597222222222)","En Palazuelos de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 26 °C y rara vez baja a menos de -7 °C o sube a más de 31 °C.",87 hab.(2021)
4674,Castilla y León,Burgos,Palazuelos de Muñó,9249000100,PALAZUELOS DE MUÑÓ,0.74,0.0,1.0,1.0,"(42.196388888889, 3.9883333333333)","En Palazuelos de Muñó, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",53 hab.(2021)
4675,Castilla y León,Burgos,Pampliega,9250000100,HORMIGUERO (EL),0.0,0.0,1.0,1.0,,Not found,
4676,Castilla y León,Burgos,Pampliega,9250000200,PAMPLIEGA,0.82,0.0,1.0,1.0,"(42.205833333333, 3.9875)","En Pampliega, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",287 hab.(2021)
4677,Castilla y León,Burgos,Pampliega,9250000300,SANTIUSTE,0.0,0.0,1.0,0.89,,"En Santiuste de San Juan Bautista, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",
4678,Castilla y León,Burgos,Pampliega,9250000400,TORREPADIERNE,0.69,0.0,1.0,1.0,,Not found,
4679,Castilla y León,Burgos,Pancorbo,9251000100,PANCORBO,1.0,0.0,1.0,1.0,"(42.635, 3.1105555555556)","En Pancorbo, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 26 °C y rara vez baja a menos de -4 °C o sube a más de 32 °C.",423 hab.(2021)
4680,Castilla y León,Burgos,Pardilla,9253000100,PARDILLA,0.94,0.0,1.0,1.0,"(41.550555555556, 3.71)","En Villanueva del Pardillo, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",115 hab.(2021)
4681,Castilla y León,Burgos,Partido de la Sierra en Tobalina,9255000100,CUBILLA DE LA SIERRA,0.0,0.0,1.0,0.48,"(42.71965, 3.1789527777778)",Not found,23 hab.(INE2020)
4682,Castilla y León,Burgos,Partido de la Sierra en Tobalina,9255000200,RANERA,0.0,0.0,1.0,0.35,"(42.727019444444, 3.2979805555556)","En Rávena, los veranos son calurosos, húmedos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",21 hab.(INE2020)
4683,Castilla y León,Burgos,Partido de la Sierra en Tobalina,9255000300,VALDERRAMA,0.0,0.0,1.0,0.19,"(42.716666666667, 3.25)","En Valderrama, la temporada de lluvia es nublada, la temporada seca es ventosa y parcialmente nublada y es muy caliente y opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 24 °C a 32 °C y rara vez baja a menos de 23 °C o sube a más de 33 °C.",39 hab.(INE2020)
4684,Castilla y León,Burgos,Pedrosa de Duero,9256000100,BOADA DE ROA,0.0,0.0,0.87,0.87,"(41.73, 3.9747222222222)","En Bogza, los veranos son calurosos y mayormente despejados y los inviernos son muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -5 °C a 29 °C y rara vez baja a menos de -12 °C o sube a más de 34 °C.",113 hab.(INE2020)
4685,Castilla y León,Burgos,Pedrosa de Duero,9256000200,GUZMÁN,0.0,0.0,0.99,0.99,"(41.756666666667, 3.9966666666667)","En Cd Guzman, la temporada de lluvia es nublada, la temporada seca es parcialmente nublada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 30 °C y rara vez baja a menos de 2 °C o sube a más de 32 °C.",108 hab.(INE2020)
4686,Castilla y León,Burgos,Pedrosa de Duero,9256000300,PEDROSA DE DUERO,0.6,0.0,0.9,0.84,"(41.711666666667, 3.9869444444444)","En Pedrosa de Duero, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",485 hab.(2021)
4687,Castilla y León,Burgos,Pedrosa de Duero,9256000400,QUINTANAMANVIRGO,0.09,0.0,0.94,0.9,"(41.75, 3.95)",Not found,106 hab.(INE2020)
4688,Castilla y León,Burgos,Pedrosa de Duero,9256000500,VALCABADO DE ROA,0.0,0.0,1.0,1.0,"(41.75, 3.95)",Not found,41 hab.(INE2020)
4689,Castilla y León,Burgos,Pedrosa del Páramo,9257000100,PEDROSA DEL PÁRAMO,0.0,0.0,1.0,0.99,"(42.442222222222, 3.9725)","En Pedrosa del Páramo, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 27 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",84 hab.(2021)
4690,Castilla y León,Burgos,Pedrosa del Príncipe,9258000100,PEDROSA DEL PRÍNCIPE,0.99,0.0,1.0,0.99,"(42.249166666667, 4.1988888888889)","En Pedrosa del Príncipe, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -4 °C o sube a más de 33 °C.",165 hab.(2021)
4691,Castilla y León,Burgos,Pedrosa de Río Úrbel,9259000100,LODOSO,0.37,0.0,0.99,1.0,"(42.429497222222, 3.8217833333333)","En Lodosa, los veranos son calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 30 °C y rara vez baja a menos de -3 °C o sube a más de 35 °C.",85 hab.(INE2020)
4692,Castilla y León,Burgos,Pedrosa de Río Úrbel,9259000200,MARMELLAR DE ABAJO,0.0,0.0,0.99,0.99,"(42.405686111111, 3.7955611111111)",Not found,29 hab.(INE2020)
4693,Castilla y León,Burgos,Pedrosa de Río Úrbel,9259000300,PEDROSA DE RÍO ÚRBEL,0.45,0.0,0.99,0.99,"(42.409444444444, 3.8211111111111)",Not found,252 hab.(2021)
4694,Castilla y León,Burgos,Pedrosa de Río Úrbel,9259000400,SAN PEDRO SAMUEL,0.0,0.0,1.0,0.91,"(42.442808333333, 3.8776166666667)",Not found,38 hab.(INE2020)
4695,Castilla y León,Burgos,Peñaranda de Duero,9261000100,PEÑARANDA DE DUERO,0.94,0.0,1.0,0.99,"(41.687222222222, 3.4775)","En Peñaranda de Duero, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",511 hab.(2021)
4696,Castilla y León,Burgos,Peral de Arlanza,9262000100,PERAL DE ARLANZA,0.98,0.0,1.0,1.0,"(42.075833333333, 4.0775)","En Peral de Arlanza, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",175 hab.(2021)
4697,Castilla y León,Burgos,Piérnigas,9265000100,PIÉRNIGAS,0.61,0.0,1.0,1.0,"(42.59, 3.4127777777778)","En Piérnigas, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 27 °C y rara vez baja a menos de -4 °C o sube a más de 33 °C.",37 hab.(2021)
