,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,Weather_info,pob_tot_muni,partido_gov_x,pob_tot_muni.1,partido_gov_y,population,T_minMedia,T_maxMedia,T_minExtrema,T_maxExtrema,location
1238,Castilla y León,Burgos,Torrelara,9388000100,TORRELARA,0.76,0.0,1.0,1.0,"En Torrelara, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 27 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",330.0,PSOE,330,PSOE,33 hab.(2021),-2,27,-6,32,"{'type': 'Point', 'coordinates': [3.5163888888889, 42.165833333333]}"
1239,Castilla y León,Burgos,Torrepadre,9389000100,HONTORIA DE RIOFRANCO,0.0,0.0,0.99,0.99,Not found,760.0,PSOE,760,PSOE,0 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [4.01275, 42.065416666667]}"
1240,Castilla y León,Burgos,Torrepadre,9389000200,RETORTILLO,0.0,0.0,0.99,0.99,"En Retortillo de Soria, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",760.0,PSOE,760,PSOE,0 hab.(INE2020),-3,28,-6,32,"{'type': 'Point', 'coordinates': [4.0246188888889, 42.073936388889]}"
1241,Castilla y León,Burgos,Torrepadre,9389000300,TORREPADRE,0.0,0.0,0.79,1.0,Not found,760.0,PSOE,760,PSOE,76 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [3.9369444444444, 42.043611111111]}"
1242,Castilla y León,Burgos,Torresandino,9390000100,TORRESANDINO,1.0,0.0,1.0,1.0,"En Torresandino, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5910.0,C's,5910,C's,591 hab.(2021),-1,28,-5,33,"{'type': 'Point', 'coordinates': [3.91, 41.829444444444]}"
1243,Castilla y León,Burgos,Tórtoles de Esgueva,9391000100,TÓRTOLES DE ESGUEVA,1.0,0.0,1.0,0.99,Not found,3970.0,Cs,3970,Cs,397 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [4.0208333333333, 41.816388888889]}"
1244,Castilla y León,Burgos,Tórtoles de Esgueva,9391000200,VILLOVELA DE ESGUEVA,0.96,0.0,1.0,0.99,Not found,3970.0,Cs,3970,Cs,78 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.9727777777778, 41.814722222222]}"
1245,Castilla y León,Burgos,Tosantos,9392000100,TOSANTOS,1.0,0.0,1.0,1.0,"En Tosantos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 27 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",560.0,PSOE,560,PSOE,56 hab.(2021),-1,27,-5,32,"{'type': 'Point', 'coordinates': [3.2433333333333, 42.413611111111]}"
1246,Castilla y León,Burgos,Trespaderne,9394000100,ARROYUELO,1.0,0.0,1.0,1.0,Not found,7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,24 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.383575, 42.8350334]}"
1247,Castilla y León,Burgos,Trespaderne,9394000200,CADIÑANOS,1.0,0.0,1.0,1.0,"En Carianos, los veranos son calurosos y opresivos; los inviernos son largos, frescos y ventosos y está mojado y parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 13 °C a 29 °C y rara vez baja a menos de 8 °C o sube a más de 32 °C.",7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,54 hab.(INE2020),13,29,8,32,"{'type': 'Point', 'coordinates': [3.350283, 42.8303536]}"
1248,Castilla y León,Burgos,Trespaderne,9394000300,PALAZUELOS DE CUESTA-URRÍA,1.0,0.0,1.0,1.0,Not found,7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1249,Castilla y León,Burgos,Trespaderne,9394000400,SANTOTIS,0.96,0.0,1.0,1.0,"En Santos, los veranos son cortos, cálidos, opresivos y mayormente nublados; los inviernos son largos, cómodos y mayormente despejados y está mojado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 19 °C a 31 °C y rara vez baja a menos de 16 °C o sube a más de 35 °C.",7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,0 hab.(INE2016),19,31,16,35,"{'type': 'Point', 'coordinates': [3.136208, 41.026013]}"
1250,Castilla y León,Burgos,Trespaderne,9394000500,TARTALES DE CILLA,1.0,0.0,1.0,1.0,Not found,7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,3 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.420975, 42.792291666667]}"
1251,Castilla y León,Burgos,Trespaderne,9394000600,TRESPADERNE,1.0,0.0,1.0,1.0,"En Trespaderne, los veranos son calurosos y secos, los inviernos son muy frío y ventosos y está parcialmente nublado todo el año. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 26 °C y rara vez baja a menos de -4 °C o sube a más de 32 °C.",7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,757 hab.(2021),1,26,-4,32,"{'type': 'Point', 'coordinates': [3.39, 42.802222222222]}"
1252,Castilla y León,Burgos,Trespaderne,9394000700,VIRUÉS,1.0,0.0,1.0,1.0,"En Virú, los veranos son cortos, calurosos, bochornosos, áridos y nublados y los inviernos son largos, cómodos, secos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 16 °C a 26 °C y rara vez baja a menos de 14 °C o sube a más de 28 °C.",7570.0,Iniciativa Merindades de Castilla,7570,Iniciativa Merindades de Castilla,3 hab.(INE2020),16,26,14,28,"{'type': 'Point', 'coordinates': [3.3531835, 42.8101606]}"
1253,Castilla y León,Burgos,Tubilla del Agua,9395000100,BAÑUELOS DEL RUDRÓN,0.0,0.0,1.0,0.08,Not found,1420.0,PP,1420,PP,11 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.8555555555556, 42.690277777778]}"
1254,Castilla y León,Burgos,Tubilla del Agua,9395000200,COVANERA,0.0,0.0,0.97,1.0,"En Covaleda, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 26 °C y rara vez baja a menos de -7 °C o sube a más de 30 °C.",1420.0,PP,1420,PP,20 hab.(INE2020),-3,26,-7,30,"{'type': 'Point', 'coordinates': [3.8, 42.733333333333]}"
1255,Castilla y León,Burgos,Tubilla del Agua,9395000300,SAN FELICES,0.0,0.0,1.0,0.99,"En San Felipe de Puerto Plata, los veranos son largos, cálidos y mayormente nublados; los inviernos son calurosos, secos, ventosos y mayormente despejados y está opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 20 °C a 32 °C y rara vez baja a menos de 19 °C o sube a más de 33 °C.",1420.0,PP,1420,PP,,20,32,19,33,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1256,Castilla y León,Burgos,Tubilla del Agua,9395000400,TABLADA DEL RUDRÓN,0.0,0.0,0.8,0.03,Not found,1420.0,PP,1420,PP,18 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.8439947222222, 42.725061666667]}"
1257,Castilla y León,Burgos,Tubilla del Agua,9395000500,TUBILLA DEL AGUA,0.0,0.0,1.0,1.0,"En Tubilla del Agua, los veranos son cortos, cómodos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 25 °C y rara vez baja a menos de -6 °C o sube a más de 30 °C.",1420.0,PP,1420,PP,142 hab.(2021),-1,25,-6,30,"{'type': 'Point', 'coordinates': [3.8027737, 42.7092207]}"
1258,Castilla y León,Burgos,Tubilla del Lago,9396000100,TUBILLA DEL LAGO,0.0,0.0,0.99,0.93,"En Tubilla del Lago, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",1670.0,PP,1670,PP,167 hab.(2021),-0,28,-5,33,"{'type': 'Point', 'coordinates': [3.5863888888889, 41.801388888889]}"
1259,Castilla y León,Burgos,Úrbel del Castillo,9398000100,NUEZ DE ARRIBA (LA),0.0,0.0,0.93,1.0,Not found,680.0,PP,680,PP,21 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.8086388888889, 42.600027777778]}"
1260,Castilla y León,Burgos,Úrbel del Castillo,9398000200,QUINTANA DEL PINO,0.0,0.0,1.0,1.0,Not found,680.0,PP,680,PP,10 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.8163888888889, 42.616666666667]}"
1261,Castilla y León,Burgos,Úrbel del Castillo,9398000300,ÚRBEL DEL CASTILLO,0.0,0.0,1.0,1.0,Not found,680.0,PP,680,PP,68 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [3.8436111111111, 42.62]}"
1262,Castilla y León,Burgos,Vadocondes,9400000100,VADOCONDES,1.0,1.0,1.0,1.0,"En Vadocondes, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",3550.0,PSOE,3550,PSOE,355 hab.(2021),0,29,-4,34,"{'type': 'Point', 'coordinates': [3.5736111111111, 41.639444444444]}"
1263,Castilla y León,Burgos,Valdeande,9403000100,VALDEANDE,0.0,0.0,0.99,0.99,"En Valdeande, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",990.0,PP,990,PP,99 hab.(2021),-1,28,-5,33,"{'type': 'Point', 'coordinates': [3.5277777777778, 41.834166666667]}"
1264,Castilla y León,Burgos,Valdezate,9405000100,VALDEZATE,0.95,0.0,1.0,1.0,"En Valdezate, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",1240.0,PP,1240,PP,124 hab.(2021),0,29,-4,34,"{'type': 'Point', 'coordinates': [3.9305555555556, 41.601388888889]}"
1265,Castilla y León,Burgos,Valdorros,9406000100,VALDORROS,0.79,0.67,1.0,1.0,"En Valdorros, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",3420.0,PSOE,3420,PSOE,342 hab.(2021),-1,28,-6,33,"{'type': 'Point', 'coordinates': [3.7088888888889, 42.171944444444]}"
1266,Castilla y León,Burgos,Valmala,9407000100,VALMALA,0.0,0.0,1.0,0.65,"En Vammala, los veranos son cómodos y parcialmente nublados y los inviernos son largos, helados, nevados y nublados. Durante el transcurso del año, la temperatura generalmente varía de -10 °C a 22 °C y rara vez baja a menos de -23 °C o sube a más de 27 °C.",240.0,PP,240,PP,24 hab.(2021),-10,22,-23,27,"{'type': 'Point', 'coordinates': [3.255, 42.305277777778]}"
1267,Castilla y León,Burgos,Vallarta de Bureba,9408000100,VALLARTA DE BUREBA,0.12,0.0,0.99,0.99,"En Vallarta de Bureba, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 26 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",450.0,PP,450,PP,45 hab.(2021),-0,26,-5,32,"{'type': 'Point', 'coordinates': [3.2047222222222, 42.588055555556]}"
1268,Castilla y León,Burgos,Valle de Manzanedo,9409000100,ARGÉS,0.0,0.0,0.94,1.0,"En Arlés, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 30 °C y rara vez baja a menos de -1 °C o sube a más de 33 °C.",1320.0,PSOE,1320,PSOE,6621 hab.(2021),3,30,-1,33,"{'type': 'Point', 'coordinates': [4.0572222222222, 39.805]}"
1269,Castilla y León,Burgos,Valle de Manzanedo,9409000200,ARREBA,0.0,0.0,1.0,1.0,"En Daganzo de Arriba, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 33 °C y rara vez baja a menos de -5 °C o sube a más de 37 °C.",1320.0,PSOE,1320,PSOE,14 hab.(INE2020),0,33,-5,37,"{'type': 'Point', 'coordinates': [3.7686111111111, 43.020555555556]}"
1270,Castilla y León,Burgos,Valle de Manzanedo,9409000300,CIDAD DE EBRO,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,5 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7133333333333, 42.890833333333]}"
1271,Castilla y León,Burgos,Valle de Manzanedo,9409000400,CONSORTES,0.0,0.0,1.0,1.0,"En Los Cóndores, los veranos son calurosos y mojados; los inviernos son cortos, fríos y secos y está mayormente despejado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 28 °C y rara vez baja a menos de -1 °C o sube a más de 33 °C.",1320.0,PSOE,1320,PSOE,3 hab.(INE2020),4,28,-1,33,"{'type': 'Point', 'coordinates': [3.731575, 42.903444444444]}"
1272,Castilla y León,Burgos,Valle de Manzanedo,9409000500,CRESPOS,0.0,0.0,1.0,1.0,"En Crespo, los veranos son calurosos, húmedos, mojados y mayormente despejados y los inviernos son cortos, fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 31 °C y rara vez baja a menos de 1 °C o sube a más de 35 °C.",1320.0,PSOE,1320,PSOE,3 hab.(INE2020),7,31,1,35,"{'type': 'Point', 'coordinates': [3.7833944444444, 42.896905555556]}"
1273,Castilla y León,Burgos,Valle de Manzanedo,9409000600,CUEVA DE MANZANEDO,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,6 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7102777777778, 42.984444444444]}"
1274,Castilla y León,Burgos,Valle de Manzanedo,9409000700,MANZANEDILLO,0.0,0.0,1.0,1.0,"En Manzanillo, la temporada de lluvia es muy caliente, opresiva y nublada y la temporada seca es caliente, bochornosa y parcialmente nublada. Durante el transcurso del año, la temperatura generalmente varía de 19 °C a 32 °C y rara vez baja a menos de 16 °C o sube a más de 33 °C.",1320.0,PSOE,1320,PSOE,3 hab.(INE2020),19,32,16,33,"{'type': 'Point', 'coordinates': [3.6925222222222, 42.892]}"
1275,Castilla y León,Burgos,Valle de Manzanedo,9409000800,MANZANEDO,0.0,0.0,1.0,0.95,"En Manzaneda, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 27 °C y rara vez baja a menos de -3 °C o sube a más de 33 °C.",1320.0,PSOE,1320,PSOE,33 hab.(INE2020),2,27,-3,33,"{'type': 'Point', 'coordinates': [3.7686111111111, 43.020555555556]}"
1276,Castilla y León,Burgos,Valle de Manzanedo,9409001000,PEÑALBA DE MANZANEDO,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,5 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7188888888889, 42.908888888889]}"
1277,Castilla y León,Burgos,Valle de Manzanedo,9409001100,POBLACIÓN DE ARREBA,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,9 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7724944444444, 42.888983333333]}"
1278,Castilla y León,Burgos,Valle de Manzanedo,9409001300,RIOSECO,0.0,0.0,1.0,1.0,"En Medina de Ríoseco, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",1320.0,PSOE,1320,PSOE,9 hab.(INE2020),0,29,-4,34,"{'type': 'Point', 'coordinates': [3.6263888888889, 42.894166666667]}"
1279,Castilla y León,Burgos,Valle de Manzanedo,9409001400,SAN MARTÍN DEL ROJO,0.0,0.0,1.0,0.87,Not found,1320.0,PSOE,1320,PSOE,7 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.6661111111111, 42.916111111111]}"
1280,Castilla y León,Burgos,Valle de Manzanedo,9409001500,SAN MIGUEL DE CORNEZUELO,0.0,0.0,0.99,1.0,Not found,1320.0,PSOE,1320,PSOE,11 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7686111111111, 43.020555555556]}"
1281,Castilla y León,Burgos,Valle de Manzanedo,9409001600,VALLEJO DE MANZANEDO,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,8 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.7266833333333, 42.8776]}"
1282,Castilla y León,Burgos,Valle de Manzanedo,9409001700,VILLASOPLIZ,0.0,0.0,1.0,1.0,Not found,1320.0,PSOE,1320,PSOE,5 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.6961694444444, 42.924266666667]}"
1283,Castilla y León,Burgos,Valle de Mena,9410000100,ANGULO,0.27,0.0,0.78,0.44,"En San Angelo, los veranos son cálidos y húmedos; los inviernos son cortos, fríos, secos y ventosos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 35 °C y rara vez baja a menos de -5 °C o sube a más de 39 °C.",3987.0,PSOE,3987,PSOE,24 hab.(INE2020),2,35,-5,39,"{'type': 'Point', 'coordinates': [3.1600539, 43.0562526]}"
1284,Castilla y León,Burgos,Valle de Mena,9410000200,ANZÓ,1.0,0.0,1.0,1.0,"En Anza, los veranos son cálidos, áridos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 31 °C y rara vez baja a menos de -6 °C o sube a más de 35 °C.",3987.0,PSOE,3987,PSOE,,-1,31,-6,35,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1285,Castilla y León,Burgos,Valle de Mena,9410000300,ARCEO,1.0,0.0,1.0,1.0,"En Argel, los veranos son calurosos, bochornosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 30 °C y rara vez baja a menos de 2 °C o sube a más de 34 °C.",3987.0,PSOE,3987,PSOE,228 hab.,6,30,2,34,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1286,Castilla y León,Burgos,Valle de Mena,9410000400,ARTIETA,0.85,0.0,1.0,1.0,"En Teotihuacán de Arista, la temporada de lluvia es nublada, la temporada seca es parcialmente nublada y es cómodo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 25 °C y rara vez baja a menos de 2 °C o sube a más de 29 °C.",3987.0,PSOE,3987,PSOE,14 hab.(INE2020),6,25,2,29,"{'type': 'Point', 'coordinates': [3.187765, 43.115823333333]}"
1287,Castilla y León,Burgos,Valle de Mena,9410000500,AYEGA,0.25,0.0,1.0,1.0,"En Ayora, los veranos son cortos, cálidos y mayormente despejados; los inviernos son largos, fríos, ventosos y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 32 °C y rara vez baja a menos de -4 °C o sube a más de 35 °C.",3987.0,PSOE,3987,PSOE,40 hab.(INE2020),1,32,-4,35,"{'type': 'Point', 'coordinates': [3.2900429, 43.146174]}"
1288,Castilla y León,Burgos,Valle de Mena,9410000600,BARRASA,0.95,0.0,1.0,1.0,"En Santa Bárbara, los veranos son calurosos, áridos y despejados y los inviernos son fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 25 °C y rara vez baja a menos de 2 °C o sube a más de 29 °C.",3987.0,PSOE,3987,PSOE,27 hab.(INE2020),6,25,2,29,"{'type': 'Point', 'coordinates': [3.3213472222222, 43.103083333333]}"
1289,Castilla y León,Burgos,Valle de Mena,9410000700,BORTEDO,0.27,0.0,1.0,1.0,"En Borrego Springs, los veranos son tórridos y áridos, los inviernos son frescos y está mayormente despejado todo el año. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 39 °C y rara vez baja a menos de 0 °C o sube a más de 42 °C.",3987.0,PSOE,3987,PSOE,,5,39,0,42,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1290,Castilla y León,Burgos,Valle de Mena,9410000800,BURCEÑA,0.18,0.0,1.0,1.0,"En Burela de Cabo, los veranos son cómodos; los inviernos son largos, fríos y mojados y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 22 °C y rara vez baja a menos de 2 °C o sube a más de 25 °C.",3987.0,PSOE,3987,PSOE,40 hab.(2019),6,22,2,25,"{'type': 'Point', 'coordinates': [3.3361972222222, 43.127705555556]}"
1291,Castilla y León,Burgos,Valle de Mena,9410000900,CADAGUA,1.0,0.0,1.0,1.0,"En Camaquã, los veranos son calurosos y bochornosos, los inviernos son frescos y está mojado y parcialmente nublado todo el año. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 30 °C y rara vez baja a menos de 4 °C o sube a más de 35 °C.",3987.0,PSOE,3987,PSOE,,10,30,4,35,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1292,Castilla y León,Burgos,Valle de Mena,9410001000,CAMPILLO DE MENA,0.0,0.0,0.97,1.0,Not found,3987.0,PSOE,3987,PSOE,14 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [3.3580833333333, 43.11765]}"
1293,Castilla y León,Burgos,Valle de Mena,9410001100,CANIEGO,0.93,0.0,1.0,1.0,"En Canidelo, los veranos son cómodos, secos y mayormente despejados y los inviernos son fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 24 °C y rara vez baja a menos de 2 °C o sube a más de 30 °C.",3987.0,PSOE,3987,PSOE,44 hab.(INE2020),6,24,2,30,"{'type': 'Point', 'coordinates': [3.3016722222222, 43.1125]}"
1294,Castilla y León,Burgos,Valle de Mena,9410001200,CARRASQUEDO,1.0,0.0,1.0,1.0,Not found,3987.0,PSOE,3987,PSOE,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1295,Castilla y León,Burgos,Valle de Mena,9410001300,CIELLA,1.0,0.0,1.0,1.0,"En Cieza, los veranos son cortos, cálidos y mayormente despejados; los inviernos son largos, fríos y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 35 °C y rara vez baja a menos de -2 °C o sube a más de 38 °C.",3987.0,PSOE,3987,PSOE,8 hab.(INE2020),3,35,-2,38,"{'type': 'Point', 'coordinates': [3.1693638888889, 43.081380555556]}"
1296,Castilla y León,Burgos,Valle de Mena,9410001400,CILIEZA,1.0,0.0,1.0,1.0,"En Cieza, los veranos son cortos, cálidos y mayormente despejados; los inviernos son largos, fríos y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 3 °C a 35 °C y rara vez baja a menos de -2 °C o sube a más de 38 °C.",3987.0,PSOE,3987,PSOE,,3,35,-2,38,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1297,Castilla y León,Burgos,Valle de Mena,9410001500,CIRIÓN,0.99,0.0,1.0,1.0,"En Cimin, los veranos son calurosos, secos y despejados y los inviernos son helados, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -10 °C a 30 °C y rara vez baja a menos de -18 °C o sube a más de 34 °C.",3987.0,PSOE,3987,PSOE,,-10,30,-18,34,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1298,Castilla y León,Burgos,Valle de Mena,9410001600,CONCEJERO,0.75,0.0,1.0,1.0,Not found,3987.0,PSOE,3987,PSOE,20 hab.(2019),,,,,"{'type': 'Point', 'coordinates': [3.34435, 43.102486111111]}"
1299,Castilla y León,Burgos,Valle de Mena,9410001700,COVIDES,0.94,0.0,1.0,1.0,"En Colimes, la temporada de lluvia es opresiva y nublada, la temporada seca es bochornosa y parcialmente nublada y es muy caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 21 °C a 33 °C y rara vez baja a menos de 19 °C o sube a más de 35 °C.",3987.0,PSOE,3987,PSOE,,21,33,19,35,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1300,Castilla y León,Burgos,Valle de Mena,9410001800,ENTRAMBASAGUAS,0.95,0.0,1.0,1.0,"En Entrambasaguas, los veranos son cómodos y secos; los inviernos son largos, fríos, mojados y ventosos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 23 °C y rara vez baja a menos de 0 °C o sube a más de 27 °C.",3987.0,PSOE,3987,PSOE,203 hab.(INE2020),5,23,0,27,"{'type': 'Point', 'coordinates': [3.2651916666667, 43.115505555556]}"
1301,Castilla y León,Burgos,Valle de Mena,9410001900,GIJANO,0.57,0.0,1.0,1.0,"En Gijang, los veranos son cortos, calurosos, bochornosos, mojados y mayormente nublados y los inviernos son muy frío, ventosos y mayormente despejados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 32 °C.",3987.0,PSOE,3987,PSOE,,-1,29,-5,32,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1302,Castilla y León,Burgos,Valle de Mena,9410002000,HAEDILLO,0.0,0.0,0.99,1.0,"En Hatillo, los veranos son largos, cálidos y mayormente nublados; los inviernos son calurosos, ventosos y mayormente despejados y está opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 21 °C a 31 °C y rara vez baja a menos de 19 °C o sube a más de 33 °C.",3987.0,PSOE,3987,PSOE,,21,31,19,33,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1303,Castilla y León,Burgos,Valle de Mena,9410002100,HORNES,0.66,0.0,1.0,1.0,"En Sant Vicenç dels Horts, los veranos son cortos, calurosos, húmedos, secos y mayormente despejados y los inviernos son largos, fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 29 °C y rara vez baja a menos de -0 °C o sube a más de 31 °C.",3987.0,PSOE,3987,PSOE,,4,29,-0,31,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
1304,Castilla y León,Burgos,Valle de Mena,9410002200,HOZ DE MENA,1.0,0.0,1.0,1.0,"En Menasha, los veranos son calurosos; los inviernos son helados, nevados y ventosos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -11 °C a 27 °C y rara vez baja a menos de -22 °C o sube a más de 32 °C.",3987.0,PSOE,3987,PSOE,2 hab.(2019),-11,27,-22,32,"{'type': 'Point', 'coordinates': [3.3392416666667, 43.107436111111]}"
